RecordID,event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
10,food_shortage,warning_relief,0.5,FRIENDLY,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Escassez de alimentos $onOrAt $market: ajuda sendo organizada em $reliefMarket,O relatório indica que uma frota de socorro está sendo organizada em $reliefMarket em $reliefSystem e provavelmente começará a funcionar dentro de alguns dias. As unidades próximas são aconselhadas a garantir que a frota chegue ao seu destino com segurança.,"A frota transporta alimentos suficientes para acabar com a escassez.

Se a frota não chegar como esperado, a situação em $market irá desestabilizar-se ainda mais.",,graphics/icons/markets/food_shortage.png,,,
66,system_bounty,likely,,,player_intel,Recompensa provavelmente oferecida por $market,Há rumores de que as autoridades $onOrAt $market estão considerando publicar uma recompensa por todas as frotas hostis a $theMarketFaction.,"
",,,,,
48,rep_tracker,trade_xp_gain,,,player_intel_always,Experiência comercial,Suas negociações recentes proporcionaram-lhe uma nova visão sobre o funcionamento da economia. Você também fez alguns contatos valiosos.,Ganhou $xpGain experiência.,,,nomap,,
45,rep_tracker,trade_negative,,,player_intel_always,Posição com $theHostileFaction reduzida devido à negociação com $pickedMarket,"Há indícios de que sua negociação com $pickedMarket foi significativa o suficiente para ser notada por $theHostileFaction, que é hostil a $theFaction.","Sua atividade foi inicialmente relatada pelas partes em $hostileMarket.

O contrabando (se houver) teve menos impacto do que o comércio aberto.",,,nomap,,
72,system_bounty,bounty_no_rep,,,player_intel_always,Avaliação referente a: recompensa de $market,mensagem contém um relatório de inteligência interna sobre a recompensa oferecida por $market.,"Nenhum pagamento de recompensa ou melhoria de relacionamento devido ao fato de $theMarketFaction ser $factionStanding com você.

$market continuará a oferecer a recompensa por $daysLeft dia(s).",,,nomap,,
51,rep_tracker,battle_rep_positive,,,secure_comm,Ficar com $theFaction melhorou,Sua batalha com $otherFleetName foi notada por $theFaction em $market.,Notícias da batalha inicialmente captadas pelos grupos em $market.,,,nomap,,
58,trade_info,prices_sniffer,,,player_intel_always,Atualização de preço,Um microburst do sniffer de comunicação em $relayName contém informações de preços sobre algumas commodities no sistema estelar $fromSystem.,$priceList,,,prices,,
39,trade_disruption,report_smuggling,,,news,Atividade de contrabando $onOrAt $market no sistema $marketSistema,A situação $onOrAt $market tornou-se menos estável como resultado da recente actividade de contrabando. As autoridades locais prometem uma investigação completa.,Estabilidade reduzida em $smugglingPenalty.,,graphics/icons/markets/smuggling.png,,,
161,sindria_terrorists,start3,,,news,Ataques terroristas em Sindria,Uma série de atentados bombistas contra escritórios da administração Diktat ocorreu em Sindria. Uma declaração divulgada por funcionários do Diktat prometeu que os terroristas receberiam justiça rapidamente.,Diminuição da produção em Sindria.,,,,,start option 3
164,sindria_terrorists,concluding1,,,news,Ataques terroristas terminando em Sindria,"Um esconderijo terrorista foi invadido pelas forças de segurança, mas foi encontrado abandonado. Funcionários da Diktat Intelligence afirmam ter encontrado evidências que ajudarão a rastrear os terroristas.",A produção em Sindria retornará em breve aos níveis normais.,,,,,
145,civil_disorder,possible4,,,news,Possível desordem civil $onOrAt $market,As autoridades locais $rulingfaction $onOrAt $market anunciaram que vários agitadores antigovernamentais proeminentes foram presos.,Aumento dos sinais de desordem civil $onOrAt $market.,,,,,
93,market_procurement,posting,,,posting,Adquira $quantity unidades de $commodity e entregue em $market dentro de $daysLeft por um pagamento de $rewardCredits.,Entre em contato com $contactDesc $contactName em $market para concluir a entrega.,"O pagamento base é de $perUnit por unidade.

$market é controlado pelas $marketautoridades da Facção.

$contactName $contactDetail.",,,no_system_prefix,,
68,system_bounty,start_with_faction,,,news,Recompensa oferecida por $market,"As autoridades $onOrAt $market, fartas dos ataques constantes ao transporte marítimo, da interrupção do comércio e do estado geral de quase guerra, colocaram uma recompensa por toda e qualquer frota hostil a $theMarketFaction.","Durará $daysLeft dias.

Provavelmente acionado por $enemyFaction atividade no sistema.

O valor pago depende dos navios destruídos (a partir de $baseBounty créditos para uma fragata), em pé com $theMarketFaction também pode melhorar.

Os navios devem ser destruídos ou desativados no sistema ou próximos no hiperespaço.

O pagamento é entregue por meio de um canal de comunicação seguro por meio de um retransmissor de comunicação próximo.
",,,,,
78,person_bounty,start_pirate,,,news,$bountyCredits recompensa de crédito postada por $theFaction em $targetName,"As autoridades $Faction $onOrAt $market postaram uma recompensa por levar $targetName, um famoso pirata, à justiça.","Recompensa de crédito de $bountyCredits, entregue via canal de comunicação seguro por meio de um retransmissor de comunicação próximo.

Oferecido por $daysLeft dias.

$targetDesc

Dizem que será $hideoutCrumb.",,,,,
2,food_shortage,likely,,,player_intel,Provável escassez de alimentos $onOrAt $market,A análise da inteligência obtida a partir de comunicações interceptadas e outras fontes sugere que é quase certo que ocorrerá uma escassez de alimentos $onOrAt $market dentro de algumas semanas.,Aumento dos preços dos alimentos e redução da estabilidade $onOrAt $market se ocorrer escassez.,,graphics/icons/markets/food_shortage.png,,,
13,food_shortage,relief_aborted,,,news,Escassez de alimentos $onOrAt $market: frota de socorro voltou atrás,"A frota de socorro de $reliefMarket foi atacada a caminho de $market, sofreu grandes perdas e foi forçada a voltar. A escassez de alimentos continua inabalável.",agitação aumentou em $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
75,comm_sniffer,report,,,player_comm_sniffer,Dados do sniffer de comunicação,"Um anexo contém um despejo de vários tráfegos de mensagens, gerados por humanos e automatizados, que passam pelo sistema $system.",Aumenta as chances de prever com precisão eventos futuros no sistema estelar.,,,,,
137,faction_hostility,end,,,news,Armistício entre $theOneFaction e $theTwoFaction,"Um acordo foi alcançado através de canais secundários, as hostilidades abertas entre $theOneFaction e $theTwoFaction cessaram e o comércio normal foi retomado.",As hostilidades abertas acabaram.,,graphics/icons/intel/faction_peace.png,important,,
12,food_shortage,relief_unavailable,,,news,Escassez de alimentos $onOrAt $market: as condições pioram,"Embora tenha havido especulação desde o início de que um mundo vizinho poderia ser capaz de enviar ajuda, parece que tal ajuda não está disponível.",A agitação aumentou em $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
59,trade_info,prices_remote,,,player_intel_always,Atualização de preço,Aproveitar o tráfego de comunicação local e outras fontes de dados disponíveis produziu dados de preços para algumas commodities no sistema estelar $fromSystem.,$priceList,,,prices,,
115,tutorial_mission,sneak_start,,,player_intel_always,Adquira dados de ponto de salto em Derinkuyu,"Contate $dataContactName na Estação de Mineração de Derinkuyu para adquirir as leituras brutas do ponto de salto.

O contato deve ser feito com o transponder desligado, pois os mineiros de Derinkuyu se tornaram piratas e sua frota será atacada caso contrário.","Use ""Go Dark"" para evitar a detecção e ""Emergency Burn"" para fugir se for visto.",,,"no_system_prefix, important",,
9,food_shortage,warning_relief,0.5,HOSTILE,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Escassez de alimentos $onOrAt $market: ajuda sendo organizada em $reliefMarket,O relatório indica que uma frota de socorro está sendo organizada em $reliefMarket em $reliefSystem e provavelmente começará a funcionar dentro de algumas semanas.,"A frota transporta alimentos suficientes para acabar com a escassez.

Se a frota não chegar como esperado, a situação em $market irá desestabilizar-se ainda mais.",,graphics/icons/markets/food_shortage.png,,,
152,civil_disorder,ending3,,,news,,Os fuzileiros navais foram enviados aos principais centros populacionais $onOrAt $market para reprimir a desordem civil.,A produção provavelmente retornará em breve aos níveis normais.,,,,,
160,sindria_terrorists,start2,,,news,Ataques terroristas em Sindria,Várias bombas foram encontradas e desativadas nos principais centros industriais do Sindrian. Instalações em todo o planeta foram fechadas e revistadas em busca de bombas. Um funcionário do Diktat anunciou a montagem de uma força-tarefa especial para encontrar os perpetradores.,Diminuição da produção em Sindria.,,,,,start option 2
14,food_shortage,end_relief_arrived,,,news,Escassez de alimentos $onOrAt $market: frota de socorro chegou,frota de socorro de $reliefMarket chegou e a escassez de alimentos $onOrAt $market acabou.,"A agitação aumentou $stabilityPenaltyEnd.

Os preços dos alimentos $onOrAt $market voltaram aos níveis normais.",,graphics/icons/markets/food_shortage.png,prices,,
142,civil_disorder,possible3,,,news,Possível desordem civil $onOrAt $market,"Um protesto foi realizado fora da sede da administração local $rulingFaction $onOrAt $market. A multidão foi dispersada pelas autoridades, resultando em várias mortes.",Aumento dos sinais de desordem civil $onOrAt $market.,,,,,various factions may comment on this event
56,trade_info,prices_market,,,player_intel_always,$market atualização de preço,Acessar a rede de comunicação local produz informações sobre algumas commodities com preços incomuns em $market.,$priceList,,,prices,,
18,food_shortage,end_player_black,,,news,Escassez de alimentos $onOrAt $market acabou,"relatório indica que a escassez de alimentos $onOrAt $market acabou. Infelizmente, grande parte da distribuição de ajuda alimentar foi feita por elementos criminosos, fortalecendo a sua posição e prejudicando as autoridades locais, tanto financeiramente como aos olhos da população.","A agitação aumentou $stabilityPenaltyEndBlack.

Os preços dos alimentos $onOrAt $market voltaram aos níveis normais.",,graphics/icons/markets/food_shortage.png,,,
140,civil_disorder,possible1,,,player_intel,Possível desordem civil $onOrAt $market,Existem indicadores de que é provável que ocorra desordem civil $onOrAt $market dentro de algumas semanas.,Diminuição da produção $onOrAt $market.,,,,,
30,investigation_goodrep,clear_goodrep_bribe,,,player_intel_always,$MarketFaction investigação de seus laços com $OtherFaction - liberada,"investigação de $marketFaction sobre seus laços com $theOtherFactionLong foi concluída de acordo com seu ""acordo especial"" com $investigatorName, e você foi inocentado de agir contra os interesses de $marketFaction.","O suborno para $InvestigatorPost $investigatorName foi eficaz.

O relacionamento com $theMarketFaction não foi afetado.",,,important,,
24,investigation_smuggling,clear_smuggling,,,player_intel_always,Investigação de contrabando $onOrAt $market - liberada,"investigação de contrabando de $marketFaction terminou e parece que seu nome foi inocentado - ou, pelo menos, não houve nenhuma evidência conclusiva para provar seu envolvimento.",O relacionamento com $theMarketFaction não é afetado.,,,important,,
132,faction_commission,rep_drop_hostile,,,secure_comm,$Faction aviso sobre: hostilidades com $theOtherFaction,"A mensagem é um comunicado oficial de $theFaction, questionando suas supostas hostilidades com $theOtherFaction e lembrando você, em termos fortes, que $theOtherFaction $otherFactionIsOrAre não é um inimigo de $theFaction.",Suas ações podem causar hostilidades abertas entre $theFaction e $theOtherFaction.,,,nomap,,
95,market_procurement,accept,,,secure_comm,Aceito: adquirir $quantity unidade(s) de $commodity e entregar para $market,"Adquira $quantity unidades de $commodity e entregue para $market.

Entre em contato com $contactDesc $contactName em $market para concluir a entrega.","$daysLeft para concluir a entrega.

$rewardCredits recompensa ($perUnit por unidade).

$market é controlado pelas $marketautoridades da Facção.

 $contactName $contactDetail.",,,"no_system_prefix, important",,
85,person_bounty,expire_end,,,news,Recompensa por $targetName acabou,As autoridades $Faction $onOrAt $market retiraram a recompensa publicada anteriormente em $targetName.,A recompensa não está mais em oferta.,,,nomap,,
57,trade_info,prices_local,,,player_intel_always,Atualização de preço local,Aproveitar o tráfego de comunicações locais e outras fontes de dados disponíveis produziu dados de preços para alguns produtos em mercados dentro do sistema.,$priceList,,,prices,,
47,#rep_tracker,trade_no_change_negative,,,player_intel_always,Permanecendo com $theHostileFaction não afetado pela negociação,"A sua recente atividade comercial com $pickedMarket, embora observada pelas autoridades hostis em $hostileMarket, não levou a qualquer mudança nas relações.",A relação está num ponto em que o comércio não a influenciará.,,,,,
155,civil_disorder,end2,,,news,,Os fuzileiros navais foram retirados dos principais centros populacionais à medida que a paz retorna a $market.,A produção voltou aos níveis normais.,,,,,
96,market_procurement,accept_bonus,,,secure_comm,Aceito: adquirir $quantity unidade(s) de $commodity e entregar para $market,"Adquira $quantity unidades de $commodity e entregue para $market.

Entre em contato com $contactDesc $contactName em $market para concluir a entrega.","$daysLeft para concluir a entrega.

$rewardCredits recompensa ($perUnit por unidade).

$bonusCredits bônus se entregue dentro de $bonusDays.

$market é controlado pelas $marketautoridades da Facção.

$contactName $contactDetail.",,,"no_system_prefix, important",,
6,food_shortage,start,0.25,HOSTILE,hegemony_public,Escassez crítica de alimentos $onOrAt $market,O relatório indica que a escassez de alimentos $onOrAt $market é invulgarmente grave e acusa a administração $theMarketFaction de precipitar uma crise humanitária.,"Aumento dos preços dos alimentos $onOrAt $market.

Estabilidade reduzida em $stabilityPenalty.

Aproximadamente $neededFood unidades de alimentos necessárias para acabar com a escassez.

Provável frota de socorro para ser enviado de um sistema estelar próximo.

Maior impacto na reputação da venda de alimentos. A venda de alimentos no mercado negro aumentará a agitação pós-escassez.",,graphics/icons/markets/food_shortage.png,prices,,
159,sindria_terrorists,start1,,,news,Ataques terroristas em Sindria,Um monumento público que comemora as vitórias militares do Leão foi destruído num atentado à meia-noite que foi rapidamente condenado pelos responsáveis do Diktat. Um toque de recolher temporário foi imposto nas principais cidades colmeias e as patrulhas de segurança aumentaram.,Diminuição da produção em Sindria.,,,,,start option 1
154,civil_disorder,end1,,,news,,A lei marcial foi suspensa conforme a paz retorna a $market.,A produção voltou aos níveis normais.,,,,,
158,sindria_terrorists,likely,,,sindrian_diktat_internal,Possíveis ataques terroristas em Sindria,A inteligência indica que os terroristas obtiveram um esconderijo de armas ilegais e pretendem utilizá-las contra alvos governamentais.,Provavelmente diminuição da produção em Sindria.,,,,,precursor to terrorist attacks
69,system_bounty,bounty_payment,,,secure_comm,Pagamento de recompensa de $market: $bountyCredits créditos,A mensagem contém um anexo criptografado que contém um pagamento de $bountyCredits créditos.,"$bountyCredits créditos ganhos.

$market continuará a oferecer a recompensa por $daysLeft dia(s).",,graphics/icons/intel/gain_credits.png,nomap,,
144,civil_disorder,possible3,,FRIENDLY,"tritachyon_public,
hegemony_public",Possível desordem civil $onOrAt $market,"$faction divulgou um comunicado condenando os protestos que estão ocorrendo $onOrAt $market, instando seus líderes a se entregarem às autoridades de $rulingFaction.",Aumento dos sinais de desordem civil $onOrAt $market.,,,,,possible reaction to the above event
79,person_bounty,start_deserter,,,news,$bountyCredits recompensa de crédito postada por $theFaction em $targetName,"As autoridades $Faction $onOrAt $market postaram uma recompensa por levar $targetName, condenado por deserção, à justiça.","$bountyCredits recompensa de crédito entregue via canal de comunicação seguro por meio de um retransmissor de comunicação próximo.

Oferecido por $daysLeft dias.

$targetDesc

Dizem que será $hideoutCrumb .",,,,,
151,civil_disorder,ending2,,,news,,Funcionários de $rulingfaction $onOrAt $market anunciaram ataques a vários esconderijos da oposição. O tiroteio resultante resultou em dezenas de vítimas.,A produção provavelmente retornará em breve aos níveis normais.,,,,,
130,faction_commission,bounty_payment,,,secure_comm,Pagamento de $theFaction: $bountyCredits créditos,"A mensagem tem um anexo criptografado que contém um pagamento de $bountyCredits créditos por lutar contra inimigos de $theFaction.

Ela faz referência a dados de registro de voo de sua batalha recente contra $enemyDesc.",$bountyCredits créditos ganhos.,,graphics/icons/intel/gain_credits.png,nomap,,
166,sindria_terrorists,end1,,,news,Os ataques terroristas em Sindria cessaram.,"Vários esconderijos terroristas foram invadidos pelas forças de segurança de Diktat numa operação repentina no início da manhã. Munições armazenadas inadequadamente detonaram, dizem as autoridades, não deixando sobreviventes.",Os níveis de produção voltam ao normal em Sindria.,,,,,
105,analyze_entity,success,,,player_intel_always,Concluído: execute o pacote de sensores em $entityName em $systemName,Missão concluída com sucesso.,$rewardCredits ganhou.,,,"no_system_prefix, important",,
102,analyze_entity,posting,,,posting,Execute o pacote de sensores fornecido em $entityName em $systemName dentro de $daysLeft para pagamento de $rewardCredits.,A missão será considerada concluída e o pagamento será postado imediatamente após a execução do pacote de sensores.,$locationHint,,,no_system_prefix,,
165,sindria_terrorists,concluding2,,,news,Ataques terroristas terminando em Sindria,Um capanga terrorista foi capturado e interrogado pela inteligência Diktat. As autoridades afirmam que a caça aos líderes terroristas está chegando ao fim.,A produção em Sindria retornará em breve aos níveis normais.,,,,,
67,system_bounty,start,,,news,Recompensa oferecida por $market,"As autoridades $onOrAt $market, fartas dos ataques constantes ao transporte marítimo, da interrupção do comércio e do estado geral de quase guerra, colocaram uma recompensa por toda e qualquer frota hostil a $theMarketFaction.","Durará $daysLeft dias.

O valor pago depende dos navios destruídos (começando com $baseBounty créditos para uma fragata). Ficar com $theMarketFaction também pode melhorar.

Os navios devem ser destruído ou desativado no sistema ou próximo ao hiperespaço.

Pagamento entregue via canal de comunicação seguro por meio de um retransmissor de comunicação próximo.
",,,,,
146,civil_disorder,likely,,,player_intel,Provável desordem civil $onOrAt $market,Há indicadores de que é quase certo que a desordem civil ocorrerá $onOrAt $market dentro de algumas semanas.,Diminuição da produção $onOrAt $market.,,,,,
83,person_bounty,bounty_no_rep_end,,,player_intel_always,Avaliação referente a: recompensa $targetName,A mensagem contém um relatório de inteligência interna sobre a recompensa por $targetName.,Nenhum pagamento de recompensa ou melhoria de relacionamento devido ao fato de $theFaction ser $factionStanding com você.,,,nomap,,
25,investigation_smuggling,clear_smuggling_bribe,,,player_intel_always,Investigação de contrabando $onOrAt $market - liberada,"A investigação de contrabando de $marketFaction foi concluída de acordo com seu ""acordo especial"" com $investigatorName, e essa mancha específica em sua reputação foi apagada.","O suborno para $InvestigatorPost $investigatorName foi eficaz.

O relacionamento com $theMarketFaction não foi afetado.",,,important,,
16,food_shortage,end_expired,,,news,Escassez de alimentos $onOrAt $market acabou,"O relatório indica que a escassez de alimentos $onOrAt $market acabou. Vários factores, incluindo o racionamento rigoroso, medidas de supressão de motins e a chegada de vários comerciantes independentes, são todos considerados responsáveis pelo fim da escassez.","A agitação aumentou em $stabilityPenaltyExpire.
Os preços dos alimentos $onOrAt $market voltaram aos níveis normais.",,graphics/icons/markets/food_shortage.png,prices,,
97,market_procurement,success,,,player_intel_always,Concluído: $quantity unidade(s) de $commodity entregue(s) a $market,Missão concluída com sucesso.,$actualReward ganhou.,,,"no_system_prefix, important",,
162,sindria_terrorists,continued1,,,news,Ataques terroristas em Sindria,Várias explosões abalaram os níveis superiores das principais cidades colmeias; líderes terroristas divulgaram uma declaração holovida dizendo que os bombardeios continuarão até que certos presos políticos detidos em Cruor sejam libertados pelas autoridades Diktat.,Diminuição da produção em Sindria.,,,,,"may proceed through zero or more of the ""continued"" event stages before reaching one of the concluding stages."
81,person_bounty,bounty_payment_share_end,,,secure_comm,Pagamento de recompensa de $theFaction: $bountyCredits créditos,"mensagem tem um anexo criptografado que contém sua parte da recompensa, no valor de $bountyCredits créditos, por levar $targetName à justiça.",$bountyCredits créditos ganhos.,,graphics/icons/intel/gain_credits.png,nomap,,
1,food_shortage,possible,,,player_intel,Possível escassez de alimentos $onOrAt $market,A análise da inteligência obtida a partir de comunicações interceptadas e outras fontes sugere que é provável que ocorra uma escassez de alimentos $onOrAt $market dentro de algumas semanas.,Aumento dos preços dos alimentos e redução da estabilidade $onOrAt $market se ocorrer escassez.,,graphics/icons/markets/food_shortage.png,,,
109,survey_planet,accept,,,secure_comm,Aceito: faça uma pesquisa completa em $planetName em $systemName,"Recompensa $rewardCredits, deve ser concluída em $daysLeft.

A missão será considerada concluída e o pagamento será postado imediatamente após a conclusão da pesquisa.",$surveyInfo,,,"no_system_prefix, important",,
28,investigation_goodrep,start_goodrep,,,secure_comm,$MarketFaction investigação de seus vínculos com $OtherFaction,Uma mensagem criptografada de um de seus contatos $onOrAt $market avisa que as autoridades de $theMarketFaction iniciaram uma investigação sobre suas ligações com $theOtherFactionLong.,"$TheMarketFaction pode se tornar hostil com você como resultado da investigação.

$InvestigatorPost $investigatorName $onOrAt $market é encarregado de conduzir a investigação. Você pode influenciar o resultado entrando em contato com $invHimOrHer.

A investigação durará $duration.",,,important,,
70,system_bounty,bounty_payment_share,,,secure_comm,Pagamento de recompensa de $market: $bountyCredits créditos,"A mensagem tem um anexo criptografado que contém sua parte da recompensa, chegando a $bountyCredits créditos.","$bountyCredits créditos ganhos.

$market continuará a oferecer a recompensa por $daysLeft dia(s).",,graphics/icons/intel/gain_credits.png,nomap,,
80,person_bounty,bounty_payment_end,,,secure_comm,Pagamento de recompensa de $theFaction: $bountyCredits créditos,A mensagem tem um anexo criptografado que contém um pagamento de $bountyCredits créditos por levar $targetName à justiça.,$bountyCredits créditos ganhos.,,graphics/icons/intel/gain_credits.png,nomap,,
8,food_shortage,warning_relief,,,player_intel,Escassez de alimentos $onOrAt $market: ajuda sendo organizada em $reliefMarket,A análise do tráfego de comunicação indica que uma frota de socorro está sendo organizada em $reliefMarket em $reliefSystem e será enviada para $market em um futuro próximo.,"A frota transporta alimentos suficientes para acabar com a escassez.

Se a frota não chegar como esperado, a situação em $market irá desestabilizar-se ainda mais.",,graphics/icons/markets/food_shortage.png,,,
167,sindria_terrorists,end2,,,news,Os ataques terroristas em Sindria cessaram.,"As forças de segurança Diktat capturaram líderes terroristas que tentavam fugir de Sindria. As autoridades declararam que, depois de serem interrogados pela Diktat Intelligence, haverá um julgamento rápido e uma execução pública.",Os níveis de produção voltam ao normal em Sindria.,,,,,"Like a Cardassian novel, everyone arrested in Sindria is guilty - the only question remains: of what?"
40,trade_disruption,report_smuggling_player,,,news,Atividade de contrabando $onOrAt $market no sistema $marketSistema,"A situação $onOrAt $market tornou-se menos estável como resultado da recente atividade de contrabando, na qual você esteve envolvido. As autoridades locais prometem uma investigação completa.","Estabilidade reduzida em $smugglingPenalty.

Suas ações recentes contribuíram para a situação.",,graphics/icons/markets/smuggling.png,,,
15,food_shortage,relief_lost,,,news,Escassez de alimentos $onOrAt $market: frota de socorro perdida,A frota de socorro de $reliefMarket não chegou ao seu destino e a escassez de alimentos continua inabalável.,A agitação aumentou em $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
17,food_shortage,end_player,,,news,Escassez de alimentos $onOrAt $market acabou,"O relatório indica que a escassez de alimentos $onOrAt $market acabou. A chegada de uma frota de socorro comandada por $playerName é responsável pelo fim da escassez, embora um administrador local tenha sido rápido em apontar suas próprias contribuições.","A agitação aumentou em $stabilityPenaltyEnd.
Os preços dos alimentos $onOrAt $market voltaram aos níveis normais.",,graphics/icons/markets/food_shortage.png,prices,,
82,person_bounty,bounty_no_payment_end,,,player_intel_always,Avaliação referente a: recompensa $targetName,A mensagem contém um relatório de inteligência interna sobre a recompensa por $targetName.,Nenhum pagamento de recompensa devido ao fato de $theFaction ser $factionStanding para você.,,,nomap,,
135,faction_hostility,warning,,,secure_comm,Hostilidades iminentes entre $theOneFaction e $theTwoFaction,"Você recebe um aviso de $theCommissionFaction de que o estado geral da guerra fria com $theOtherFaction certamente dará lugar a hostilidades abertas em questão de semanas, no máximo.","$TheOtherFaction se tornará hostil com você, pois você detém uma comissão $commissionFaction.

Sua posição com $theOtherFaction será restaurada principalmente após o término das hostilidades.",,graphics/icons/intel/faction_conflict.png,important,,
71,system_bounty,bounty_no_payment,,,player_intel_always,Avaliação referente a: recompensa de $market,A mensagem contém um relatório de inteligência interna sobre a recompensa oferecida por $market.,"Nenhum pagamento de recompensa porque $theMarketFaction é $factionStanding para você.

$market continuará a oferecer a recompensa por $daysLeft dia(s).",,,nomap,,
163,sindria_terrorists,continued2,,,news,Ataques terroristas em Sindria,"Homens armados terroristas invadiram hoje um centro de recrutamento naval de Diktat. Todos foram mortos em um tiroteio que durou horas, causando dezenas de vítimas civis. Os funcionários do Diktat condenaram o ato covarde.",Diminuição da produção em Sindria.,,,,,""""
